"Field","Code","Label"
"DEGEST","1174","Barnet & Southgate College"
"DEGEST","1175","Barnsley College"
"DEGEST","1176","Barnfield College"
"DEGEST","1177","Barking and Dagenham College"
"DEGEST","1178","Aylesbury College"
"DEGEST","1179","Askham Bryan College"
"DEGEST","1180","Ashton Sixth Form College"
"DEGEST","1181","Activate Learning"
"DEGEST","1182","Accrington and Rossendale College"
"DEGEST","1183","Abingdon and Witney College"
"DEGEST","1184","Hartpury College of Further Education"
"DEGEST","1185","Middlesbrough College"
"DEGEST","1186","Joseph Chamberlain Sixth Form College"
"DEGEST","1187","EKC GROUP"
"DEGEST","1188","Bexhill College"
"DEGEST","1189","Morley College Limited"
"DEGEST","1190","West Suffolk College"
"DEGEST","1191","North Shropshire College"
"DEGEST","1192","Bracknell and Wokingham College"
"DEGEST","1193","Prospects College of Advanced Technology"
"DEGEST","1194","Easton and Otley College"
"DEGEST","1195","Itchen College"
"DEGEST","2001","Institute of Psychiatry (associated with King's College London)"
"DEGEST","7004","Medway School of Pharmacy"
"DEGEST","7005","Hull York Medical School"
"DEGEST","7006","Brighton and Sussex Medical School"
"DEGEST","7007","University of London Institute in Paris"
"DEGEST","7008","Peninsula College of Medicine and Dentistry"
"DEGEST","7009","European School of Osteopathy"
"DEGEST","9065","Council for National Academic Awards"
"DEGEST","0001","The Open University"
"DEGEST","0002","Cranfield University"
"DEGEST","0003","Royal College of Art"
"DEGEST","0004","The College of Guidance Studies"
"DEGEST","0006","The Royal College of Nursing"
"DEGEST","0007","Bishop Grosseteste University"
"DEGEST","0008","Bretton Hall College of HE"
"DEGEST","0009","Buckinghamshire New University"
"DEGEST","0010","The Royal Central School of Speech and Drama"
"DEGEST","0011","University of Chester"
"DEGEST","0012","Canterbury Christ Church University"
"DEGEST","0013","York St John University"
"DEGEST","0014","University of St Mark and St John"
"DEGEST","0015","Dartington College of Arts"
"DEGEST","0016","Edge Hill University"
"DEGEST","0017","Falmouth University"
"DEGEST","0018","Harper Adams University"
"DEGEST","0019","Homerton College"
"DEGEST","0020","Kent Institute of Art and Design"
"DEGEST","0021","The University of Winchester"
"DEGEST","0022","La Sainte Union College of HE"
"DEGEST","0023","Liverpool Hope University"
"DEGEST","0024","University of the Arts, London"
"DEGEST","0025","Loughborough College of Art and Design"
"DEGEST","0026","University of Bedfordshire"
"DEGEST","0027","The University of Northampton"
"DEGEST","0028","Newman University"
"DEGEST","0029","North Riding College Higher Education Corporation"
"DEGEST","0030","Ravensbourne University London"
"DEGEST","0031","Roehampton University"
"DEGEST","0032","Rose Bruford College of Theatre and Performance"
"DEGEST","0033","Royal Academy of Music"
"DEGEST","0034","Royal College of Music"
"DEGEST","0035","Royal Northern College of Music"
"DEGEST","0036","Salford College of Technology"
"DEGEST","0037","Solent University"
"DEGEST","0038","University of Cumbria"
"DEGEST","0039","St Mary's University, Twickenham"
"DEGEST","0040","Leeds Trinity University"
"DEGEST","0041","Trinity Laban Conservatoire of Music and Dance"
"DEGEST","0042","Westminster College"
"DEGEST","0043","West London Institute of HE"
"DEGEST","0044","The Surrey Institute of Art and Design, University College"
"DEGEST","0045","Winchester School of Art"
"DEGEST","0046","University of Worcester"
"DEGEST","0047","Anglia Ruskin University"
"DEGEST","0048","Bath Spa University"
"DEGEST","0049","The University of Bolton"
"DEGEST","0050","Bournemouth University"
"DEGEST","0051","The University of Brighton"
"DEGEST","0052","Birmingham City University"
"DEGEST","0053","The University of Central Lancashire"
"DEGEST","0054","University of Gloucestershire"
"DEGEST","0055","London Guildhall University"
"DEGEST","0056","Coventry University"
"DEGEST","0057","University of Derby"
"DEGEST","0058","The University of East London"
"DEGEST","0059","The University of Greenwich"
"DEGEST","0060","University of Hertfordshire"
"DEGEST","0061","The University of Huddersfield"
"DEGEST","0062","The University of Lincoln"
"DEGEST","0063","Kingston University"
"DEGEST","0064","Leeds Beckett University"
"DEGEST","0065","Liverpool John Moores University"
"DEGEST","0066","The Manchester Metropolitan University"
"DEGEST","0067","Middlesex University"
"DEGEST","0068","De Montfort University"
"DEGEST","0069","University of Northumbria at Newcastle"
"DEGEST","0070","The University of North London"
"DEGEST","0071","The Nottingham Trent University"
"DEGEST","0072","Oxford Brookes University"
"DEGEST","0073","University of Plymouth"
"DEGEST","0074","The University of Portsmouth"
"DEGEST","0075","Sheffield Hallam University"
